Data,Descrição,Valor (R$)
26/11/24,PEDRO GIORDANI REFEICOE,3.5
29/11/24,PEDRO GIORDANI REFEICOE,3.5
29/11/24,PEDRO GIORDANI REFEICOE,8.0
29/11/24,UBER* PENDING,12.98
29/11/24,DM*HELPMAXCOM,8.9
30/11/24,CORREIOS CEL*CORREIOS,25.0
01/12/24,EBN*SPOTIFY,11.9
02/12/24,PEDRO GIORDANI REFEICOE,3.5
02/12/24,TECIDOS TOLEDO LTDA,23.44
03/12/24,PRIMATO,12.98
03/12/24,HNA*EUDORA - Parcela 1/7,15.7
04/12/24,568 REFEICOES,3.5
05/12/24,COMANCHE,5.0
06/12/24,PEDRO GIORDANI REFEICOE,3.0
07/12/24,PAODELO,5.0
10/12/24,PEDRO GIORDANI REFEICOE,3.5
10/12/24,RAIA2164,5.0
11/12/24,PEDRO GIORDANI REFEICOE,7.5
12/12/24,PRIMATO,31.92
13/12/24,PEDRO GIORDANI REFEICOE,2.75
13/12/24,C PERNAMBUCANAS LJ 772,19.99
20/12/24,NORDESTE TURISMO - Parcela 1/3,86.53
20/12/24,UBER* PENDING,11.39
21/12/24,LAFEMMEBIJUT,4.25
24/12/24,PAODELO,11.0
