Data,Descrição,Valor (R$)
12/10/24,MARIA IVANI ALVES DA SILV - Parcela 2/2,5.28
29/10/24,PEDRO GIORDANI REFEICOE,3.5
29/10/24,PEDRO GIORDANI REFEICOE,3.5
29/10/24,PEDRO GIORDANI REFEICOE,4.0
30/10/24,PEDRO GIORDANI REFEICOE,3.5
31/10/24,CORREIOS CEL*CORREIOS,25.0
31/10/24,PEDRO GIORDANI REFEICOE,3.5
01/11/24,EBN *SPOTIFY,11.9
03/11/24,PRIMATO SUPERMERCADOS,19.39
04/11/24,PEDRO GIORDANI REFEICOE,3.5
05/11/24,PEDRO GIORDANI REFEICOE,3.5
05/11/24,ASSOCIACAO ATLETICA ACADE,16.94
05/11/24,PEDRO GIORDANI REFEICOE,3.5
06/11/24,PEDRO GIORDANI REFEICOE,3.5
06/11/24,PEDRO GIORDANI REFEICOE,4.0
07/11/24,PEDRO GIORDANI REFEICOE,2.75
07/11/24,TECIDOS TOLEDO LTDA,15.0
07/11/24,LAFEMMETOLED,18.7
07/11/24,MORBEH SUPERMERCA,10.57
08/11/24,PEDRO GIORDANI REFEICOE,7.5
08/11/24,PEDRO GIORDANI REFEICOE,7.0
09/11/24,COMANCHE,25.0
09/11/24,568 REFEICOES,3.5
09/11/24,PEDRO GIORDANI REFEICOE,26.25
10/11/24,SUBWAY,17.5
10/11/24,BOB'S TOLEDO,17.0
11/11/24,568 REFEICOES,4.0
12/11/24,PEDRO GIORDANI REFEICOE,3.5
12/11/24,PEDRO GIORDANI REFEICOE,4.0
12/11/24,PEDRO GIORDANI REFEICOE,4.0
12/11/24,UBER* PENDING,12.98
13/11/24,SUPER MUFFATO,85.92
13/11/24,PEDRO GIORDANI REFEICOE,3.5
14/11/24,PEDRO GIORDANI REFEICOE,3.5
14/11/24,PEDRO GIORDANI REFEICOE,4.0
14/11/24,PG *TON VOVO EMPREEN,5.0
14/11/24,BOM PASTEL & KIKA COXINHA,4.0
15/11/24,SUPER MUFFATO,7.49
15/11/24,SUPER MUFFATO,12.94
17/11/24,SUPER MUFFATO,12.07
19/11/24,PEDRO GIORDANI REFEICOE,7.5
21/11/24,PEDRO GIORDANI REFEICOE,4.0
21/11/24,PRIMATO,21.97
25/11/24,SANTO MANA GASTRONOMIA,7.5
