Data,Descrição,Valor (R$)
03/12/24,HNA*EUDORA - Parcela 7/7,15.7
17/05/25,BIJUTERIAS TOLEDO LTDA - Parcela 2/3,43.33
28/05/25,568 REFEICOES,3.5
28/05/25,COPIAS UTF,0.4
28/05/25,COPIAS UTF GRAFICA RAPIDA,2.0
28/05/25,UBER* PENDING,5.18
29/05/25,CORREIO*CORREIOS CEL,25.0
29/05/25,UBER* PENDING,7.45
29/05/25,PEDRO GIORDANI REFEICOE,3.5
29/05/25,568 REFEICOES,5.0
29/05/25,AMIGAO TOLEDO,40.35
30/05/25,PRIMATO,28.11
31/05/25,PEDRO GIORDANI REFEICOE,3.5
01/06/25,SUBWAY,17.5
02/06/25,568 REFEICOES,3.5
02/06/25,PRIMATO,6.99
03/06/25,DARIANEARMARINHOS,2.0
03/06/25,ZEROHORABEBIDAS,4.0
04/06/25,PEDRO GIORDANI REFEICOE,3.5
04/06/25,55796903VALDECI,16.0
05/06/25,COPIAS UTF GRAFICA RAPIDA,2.8
05/06/25,COPIAS UTF,0.8
05/06/25,PEDRO GIORDANI REFEICOE,5.0
07/06/25,PRIMATO,11.25
07/06/25,DARIANEARMARINHOS,7.0
07/06/25,568 REFEICOES,3.5
07/06/25,PEDRO GIORDANI REFEICOE,1.0
07/06/25,BRFTOLEDOCOMERCIO,5.0
07/06/25,PIRU ESPETINHOS,15.0
09/06/25,568 REFEICOES,3.5
09/06/25,PEDRO GIORDANI REFEICOE,1.0
09/06/25,PRIMATO,9.48
09/06/25,PRIMATO,9.49
09/06/25,COPIAS UTF GRAFICA RAPIDA,11.5
09/06/25,PEDRO GIORDANI REFEICOE,3.5
10/06/25,PEDRO GIORDANI REFEICOE,5.0
11/06/25,PEDRO GIORDANI REFEICOE,3.5
11/06/25,PEDRO GIORDANI REFEICOE,3.0
13/06/25,LIVRARIA BARAO,4.75
14/06/25,JOSE MANUEL CASTRO ALEN,4.0
16/06/25,PEDRO GIORDANI REFEICOE,3.5
16/06/25,PEDRO GIORDANI REFEICOE,3.0
17/06/25,PEDRO GIORDANI REFEICOE,3.5
17/06/25,PEDRO GIORDANI REFEICOE,4.0
18/06/25,568 REFEICOES,5.5
18/06/25,PEDRO GIORDANI REFEICOE,2.75
18/06/25,PEDRO GIORDANI REFEICOE,3.5
22/06/25,CAHETELTG COMERCIO DE,5.0
24/06/25,PRIMATO,17.97
24/06/25,PEDRO GIORDANI REFEICOE,3.5
