Data,Descrição,Valor (R$)
27/09/24,REUTER PRODUTOS NATURAI,6.0
27/09/24,DILETTARE SUPERMERCADOS,2.49
29/09/24,FARMACIA E DROGARIA NIS,19.9
01/10/24,CORREIOS CEL*CORREIOS,25.0
01/10/24,COPIAS UTF GRAFICA RAPIDA,12.25
01/10/24,PEDRO GIORDANI REFEICOE,3.5
01/10/24,EBN *SPOTIFY,11.9
01/10/24,COPIAS UTF GRAFICA RAPIDA,4.75
02/10/24,UBER* PENDING,15.95
02/10/24,UBER* PENDING,25.93
02/10/24,PEDRO GIORDANI REFEICOE,8.0
03/10/24,PEDRO GIORDANI REFEICOE,3.5
03/10/24,568 REFEICOES,3.5
04/10/24,PEDRO GIORDANI REFEICOE,6.0
05/10/24,MP*SALEBRASA,20.0
05/10/24,PAO DOURADO,3.6
06/10/24,JOZE LANCHES,15.0
07/10/24,SUPER MUFFATO,8.49
07/10/24,PEDRO GIORDANI REFEICOE,3.5
07/10/24,PEDRO GIORDANI REFEICOE,4.0
08/10/24,PEDRO GIORDANI REFEICOE,3.5
08/10/24,PEDRO GIORDANI REFEICOE,3.5
09/10/24,PEDRO GIORDANI REFEICOE,7.0
09/10/24,PEDRO GIORDANI REFEICOE,4.0
10/10/24,568 REFEICOES,3.5
11/10/24,PEDRO GIORDANI REFEICOE,10.5
12/10/24,MARIA IVANI ALVES DA SILV - Parcela 1/2,5.29
13/10/24,PG *TON JOSE APARECI,15.0
14/10/24,PEDRO GIORDANI REFEICOE,3.5
15/10/24,PEDRO GIORDANI REFEICOE,3.5
16/10/24,PEDRO GIORDANI REFEICOE,3.5
16/10/24,PEDRO GIORDANI REFEICOE,3.5
17/10/24,PEDRO GIORDANI REFEICOE,3.5
17/10/24,PEDRO GIORDANI REFEICOE,3.5
17/10/24,RANCHO MINEIRO,4.0
18/10/24,UBER* PENDING,7.99
18/10/24,PEDRO GIORDANI REFEICOE,3.5
18/10/24,PEDRO GIORDANI REFEICOE,4.0
21/10/24,PEDRO GIORDANI REFEICOE,3.5
21/10/24,PEDRO GIORDANI REFEICOE,7.5
22/10/24,FARMACIA SANTA MARIA,25.0
22/10/24,PEDRO GIORDANI REFEICOE,3.5
22/10/24,PEDRO GIORDANI REFEICOE,4.0
23/10/24,PEDRO GIORDANI REFEICOE,3.5
23/10/24,PEDRO GIORDANI REFEICOE,3.5
23/10/24,PEDRO GIORDANI REFEICOE,4.0
24/10/24,PEDRO GIORDANI REFEICOE,3.5
24/10/24,PEDRO GIORDANI REFEICOE,3.5
24/10/24,EDSON RENAN BYK NARDI,2.5
24/10/24,UBER* PENDING,10.91
25/10/24,568 REFEICOES,3.5
