Data,Descrição,Valor (R$)
28/08/25,PEDRO GIORDANI REFEICOE,9.5
29/08/25,ZEROHORABEBIDAS,3.5
29/08/25,568 REFEICOES,3.5
29/08/25,568 REFEICOES,6.0
29/08/25,PEDRO GIORDANI REFEICOE,5.0
29/08/25,57.496.038 RICARDO GUS,11.99
31/08/25,ZAFALON AUTO POSTO SED,280.5
01/09/25,568 REFEICOES,5.0
01/09/25,PEDRO GIORDANI REFEICOE,3.5
02/09/25,UBER* PENDING,6.91
02/09/25,PRIMATO,87.12
03/09/25,568 REFEICOES,2.5
03/09/25,PRIMATO,23.83
04/09/25,PEDRO GIORDANI REFEICOE,3.5
04/09/25,PEDRO GIORDANI REFEICOE,3.5
04/09/25,BUYBYE,4.5
06/09/25,LANCHONETE AER SADIA,8.0
07/09/25,JOZE LANCHES,15.0
09/09/25,PEDRO GIORDANI REFEICOE,5.0
10/09/25,PRIMATO,2.99
10/09/25,568 REFEICOES,4.0
11/09/25,55.453.830 DILMA MIRANDA,7.98
12/09/25,GRAFICA RAPIDA,12.75
13/09/25,ZAFALON AUTO POSTO SED,5.0
13/09/25,MGPLANCHONETE,5.0
14/09/25,FARMACIA E DROGARIA NIS,5.5
14/09/25,PRIMATO,23.83
15/09/25,PRIMATO,32.97
15/09/25,PEDRO GIORDANI REFEICOE,7.0
16/09/25,568 REFEICOES,3.5
16/09/25,568 REFEICOES,5.0
17/09/25,PEDRO GIORDANI REFEICOE,2.5
17/09/25,PRIMATO,11.47
17/09/25,PEDRO GIORDANI REFEICOE,3.5
17/09/25,PEDRO GIORDANI REFEICOE,1.0
18/09/25,PASIANOTZANATTO,10.0
19/09/25,KINGSBEER,14.0
20/09/25,PEDRO GIORDANI REFEICOE,7.5
20/09/25,PRIMATO,39.36
20/09/25,TOLEDO01,9.45
23/09/25,99*,11.0
