Data,Descrição,Valor (R$)
26/09/25,PRIMATO,1.29
26/09/25,PRIMATO,1.12
27/09/25,PEDRO GIORDANI REFEICOE,3.5
27/09/25,PRIMATO,72.96
29/09/25,BUYBYE,6.18
29/09/25,PEDRO GIORDANI REFEICOE,6.5
29/09/25,55.453.830 DILMA MIRANDA,3.6
30/09/25,PEDRO GIORDANI REFEICOE,3.75
30/09/25,PEDRO GIORDANI REFEICOE,7.5
01/10/25,MASTER PASTELARIA,3.5
01/10/25,99*,7.1
01/10/25,PRIMATO,11.28
01/10/25,PEDRO GIORDANI REFEICOE,3.5
02/10/25,RANCHOMINEIRO,10.0
03/10/25,568 REFEICOES,3.5
03/10/25,PEDRO GIORDANI REFEICOE,2.5
08/10/25,UBER* PENDING,5.95
08/10/25,PEDRO GIORDANI REFEICOE,4.0
08/10/25,PEDRO GIORDANI REFEICOE,6.5
08/10/25,UBER* PENDING,7.57
09/10/25,PEDRO GIORDANI REFEICOE,3.5
09/10/25,PEDRO GIORDANI REFEICOE,1.0
09/10/25,PRIMATO,3.87
09/10/25,UBER* PENDING,8.46
10/10/25,BUYBYE,6.18
10/10/25,PEDRO GIORDANI REFEICOE,5.25
10/10/25,55796903VALDECI,6.0
11/10/25,PIZZARIA MAMMA MIA,6.0
11/10/25,PAGTEL*CORREIOS CEL,30.0
14/10/25,REAL TIME-COMERCI,8.0
14/10/25,PRIMATO,3.98
15/10/25,PEDRO GIORDANI REFEICOE,3.5
15/10/25,PEDRO GIORDANI REFEICOE,3.5
15/10/25,PRIMATO,22.4
16/10/25,UBER* PENDING,15.13
17/10/25,PEDRO GIORDANI REFEICOE,3.5
17/10/25,PRIMATO,18.15
17/10/25,ANM SORVETES,6.88
18/10/25,FARMACIA E DROGARIA NIS,8.95
19/10/25,UBER *TRIP HELP.UBER.COM,8.18
20/10/25,GRAFICA RAPIDA,3.0
20/10/25,PEDRO GIORDANI REFEICOE,3.5
21/10/25,PEDRO GIORDANI REFEICOE,3.5
21/10/25,PEDRO GIORDANI REFEICOE,2.5
21/10/25,PEDRO GIORDANI REFEICOE,3.5
23/10/25,PEDRO GIORDANI REFEICOE,3.5
24/10/25,PEDRO GIORDANI REFEICOE,3.5
25/10/25,PEDRO GIORDANI REFEICOE,3.5
