Data,Descrição,Valor (R$)
03/12/24,HNA*EUDORA - Parcela 6/7,15.7
23/04/25,PEDRO GIORDANI REFEICOE,3.5
24/04/25,568 REFEICOES,3.5
24/04/25,PRIMATO,1.29
25/04/25,COPIAS UTF,0.75
26/04/25,PEDRO GIORDANI REFEICOE,3.5
27/04/25,SUBWAY,17.5
28/04/25,568 REFEICOES,3.5
28/04/25,568 REFEICOES,2.75
28/04/25,PEDRO GIORDANI REFEICOE,4.0
29/04/25,CORREIOS CEL*CORREIOS,25.0
29/04/25,PEDRO GIORDANI REFEICOE,2.5
30/04/25,PRIMATO,3.03
30/04/25,PEDRO GIORDANI REFEICOE,3.5
03/05/25,MORBEH SUPERMERCADOS L,7.14
03/05/25,PRIMATO,4.99
04/05/25,AMIGAO TOLEDO,11.22
05/05/25,568 REFEICOES,3.5
05/05/25,COPIAS UTF,0.4
06/05/25,568 REFEICOES,5.0
06/05/25,PRIMATO,5.79
07/05/25,568 REFEICOES,8.5
08/05/25,PEDRO GIORDANI REFEICOE,5.0
08/05/25,PEDRO GIORDANI REFEICOE,6.0
08/05/25,IFD*JHONY WESLEY MARQUES,30.01
09/05/25,AMIGAO TOLEDO,25.55
09/05/25,COPIAS UTF GRAFICA RAPIDA,1.15
09/05/25,COPIAS UTF GRAFICA RAPIDA,2.0
10/05/25,PEDRO GIORDANI REFEICOE,3.5
10/05/25,PEDRO GIORDANI REFEICOE,1.0
12/05/25,PEDRO GIORDANI REFEICOE,3.5
13/05/25,PRIMATO TOLEDO PANCERA,22.5
13/05/25,PRIMATO,2.98
13/05/25,COPIAS UTF,0.8
15/05/25,PEDRO GIORDANI REFEICOE,2.5
15/05/25,PEDRO GIORDANI REFEICOE,3.5
15/05/25,PEDRO GIORDANI REFEICOE,6.0
16/05/25,PRIMATO TOLEDO PANCERA,37.06
17/05/25,MORBEH SUPERMERCADOS L,1.49
17/05/25,568 REFEICOES,3.5
17/05/25,PEDRO GIORDANI REFEICOE,1.0
17/05/25,BIJUTERIAS TOLEDO LTDA - Parcela 1/3,43.34
18/05/25,AMIGAO TOLEDO,36.32
19/05/25,568 REFEICOES,3.5
19/05/25,568 REFEICOES,0.6
19/05/25,UBER* PENDING,9.92
19/05/25,MORBEH SUPERMERCADOS L,2.57
20/05/25,55.453.830 DILMA MIRANDA,3.99
21/05/25,568 REFEICOES,3.5
21/05/25,568 REFEICOES,3.5
21/05/25,568 REFEICOES,8.0
23/05/25,PRIMATO,5.16
