Data,Descrição,Valor (R$)
28/07/25,PEDRO GIORDANI REFEICOE,3.5
29/07/25,55796903VALDECI,6.0
01/08/25,PRIMATO,15.98
02/08/25,PRIMATO,24.35
03/08/25,THE BEST ACAI TOLEDO,4.0
05/08/25,UBER* PENDING,7.45
07/08/25,UBER* PENDING,8.2
07/08/25,HF HOFFMANN E CIA,10.0
07/08/25,PRIMATO,3.27
08/08/25,PRIMATO,5.94
09/08/25,PEDRO GIORDANI REFEICOE,3.5
10/08/25,BUYBYE,4.5
10/08/25,UBER* PENDING,12.25
10/08/25,COMANCHE,6.0
11/08/25,PRIMATO,33.9
11/08/25,568 REFEICOES,3.5
13/08/25,PEDRO GIORDANI REFEICOE,5.0
13/08/25,PEDRO GIORDANI REFEICOE,3.5
13/08/25,PEDRO GIORDANI REFEICOE,5.0
14/08/25,PRIMATO,16.89
15/08/25,JULIA MARIA FERREIRA,16.0
15/08/25,PEDRO GIORDANI REFEICOE,3.5
16/08/25,PEDRO GIORDANI REFEICOE,3.5
17/08/25,99*,14.8
18/08/25,568 REFEICOES,3.5
18/08/25,55.453.830 DILMA MIRANDA,11.97
22/08/25,PEDRO GIORDANI REFEICOE,3.5
22/08/25,PEDRO GIORDANI REFEICOE,1.0
22/08/25,PEDRO GIORDANI REFEICOE,13.0
22/08/25,UBER *TRIP HELP.UBER.COM,11.34
22/08/25,SUBWAY,29.5
23/08/25,BUYBYE,10.99
26/08/25,GRAFICA RAPIDA,20.75
26/08/25,PEDRO GIORDANI REFEICOE,3.5
26/08/25,BOM PASTEL & KIKA COXINHA,18.0
27/08/25,X PICANHA,17.0
