Data,Descrição,Valor (R$)
03/12/24,HNA*EUDORA - Parcela 3/7,15.7
20/12/24,NORDESTE TURISMO - Parcela 3/3,86.51
29/01/25,PAGTEL*CORREIOS,25.0
01/02/25,EBN *SPOTIFY,11.9
04/02/25,PRIMATO,10.99
05/02/25,PEDRO GIORDANI REFEICOE,5.0
06/02/25,PRIMATO,15.85
07/02/25,PEDRO GIORDANI REFEICOE,3.5
07/02/25,PRIMATO,2.76
09/02/25,AMIGAO TOLEDO,19.4
11/02/25,PRIMATO,8.8
12/02/25,PEDRO GIORDANI REFEICOE,3.5
12/02/25,PEDRO GIORDANI REFEICOE,4.0
13/02/25,PEDRO GIORDANI REFEICOE,3.5
14/02/25,PRIMATO,42.73
18/02/25,PRIMATO,8.53
18/02/25,PEDRO GIORDANI REFEICOE,3.5
19/02/25,568 REFEICOES,4.0
19/02/25,PRIMATO,27.43
20/02/25,PRIMATO,1.98
20/02/25,PRIMATO TOLEDO PANCERA,1.8
20/02/25,PEDRO GIORDANI REFEICOE,3.5
21/02/25,PEDRO GIORDANI REFEICOE,3.5
21/02/25,CARRARO CONVENIENCIA,6.95
