Data,Descrição,Valor (R$)
17/05/25,BIJUTERIAS TOLEDO LTDA - Parcela 3/3,43.33
26/06/25,PEDRO GIORDANI REFEICOE,3.5
26/06/25,PEDRO GIORDANI REFEICOE,1.0
28/06/25,RESTAURANTE FILEZ,37.65
29/06/25,AMIGAO TOLEDO,67.52
30/06/25,PEDRO GIORDANI REFEICOE,2.5
01/07/25,PEDRO GIORDANI REFEICOE,1.0
02/07/25,PRIMATO,29.8
03/07/25,568 REFEICOES,2.5
03/07/25,MERCADOPAGO*COMERCIO,2.0
04/07/25,PRIMATO,3.76
04/07/25,UBER* PENDING,9.46
04/07/25,ASSOCIACAO ATLETICA ACADE,5.17
06/07/25,UBER* PENDING,12.29
08/07/25,PRIMATO,10.99
08/07/25,PALOTINA,9.4
09/07/25,568 REFEICOES,11.0
11/07/25,PIZZINO E CZAMANS,6.5
12/07/25,PEDRO GIORDANI REFEICOE,3.5
12/07/25,PEDRO GIORDANI REFEICOE,2.75
15/07/25,BUYBYE,7.9
17/07/25,OLD DOG TOLEDO,17.0
18/07/25,ABATOL,5.0
20/07/25,THE BEST ACAI TOLEDO,32.96
28/07/25,TECIDOS TOLEDO LTDA,10.4
28/07/25,PRIMATO,11.27
