Data,Descrição,Valor (R$)
03/12/24,HNA*EUDORA - Parcela 5/7,15.7
27/03/25,PEDRO GIORDANI REFEICOE,3.5
27/03/25,PEDRO GIORDANI REFEICOE,3.5
28/03/25,PRIMATO,13.66
29/03/25,PEDRO GIORDANI REFEICOE,9.5
29/03/25,PEDRO GIORDANI REFEICOE,8.5
29/03/25,PEDRO GIORDANI REFEICOE,4.0
29/03/25,PRIMATO,8.99
30/03/25,CORREIOS CEL*CORREIOS,25.0
30/03/25,PRIMATO,7.93
31/03/25,568 REFEICOES,3.5
31/03/25,GIRAFFAS,5.5
01/04/25,PRIMATO,4.99
01/04/25,PEDRO GIORDANI REFEICOE,3.5
02/04/25,PEDRO GIORDANI REFEICOE,3.5
03/04/25,PRIMATO,4.78
03/04/25,568 REFEICOES,7.5
03/04/25,PEDRO GIORDANI REFEICOE,2.0
03/04/25,PEDRO GIORDANI REFEICOE,4.0
04/04/25,568 REFEICOES,3.5
04/04/25,PEDRO GIORDANI REFEICOE,4.0
04/04/25,PRIMATO,23.52
06/04/25,UBER* PENDING,8.47
07/04/25,PRIMATO,10.84
07/04/25,568 REFEICOES,6.0
07/04/25,PEDRO GIORDANI REFEICOE,3.5
08/04/25,PRIMATO,1.98
09/04/25,PEDRO GIORDANI REFEICOE,9.0
10/04/25,PEDRO GIORDANI REFEICOE,3.5
10/04/25,PEDRO GIORDANI REFEICOE,3.5
11/04/25,PEDRO GIORDANI REFEICOE,3.5
11/04/25,PRIMATO,11.97
11/04/25,PRIMATO,21.43
12/04/25,ASSOCIACAO ATLETICA ACADE,5.17
14/04/25,PRIMATO,13.58
15/04/25,568 REFEICOES,3.5
15/04/25,PEDRO GIORDANI REFEICOE,6.0
16/04/25,PEDRO GIORDANI REFEICOE,4.0
16/04/25,55796903VALDECI,13.0
17/04/25,568 REFEICOES,3.0
17/04/25,LAFEMME,20.0
19/04/25,FARMACIA FARMAVIDDA,3.0
22/04/25,UNIFARMA,14.3
