Data,Descrição,Valor (R$)
24/08/24,AMAZON DIGITAL BR,3.99
24/08/24,AMAZON DIGITAL BR,3.99
27/08/24,PEDRO GIORDANI REFEICOE,7.0
27/08/24,COPIAS UTF,0.25
28/08/24,PEDRO GIORDANI REFEICOE,7.0
29/08/24,PEDRO GIORDANI REFEICOE,7.0
30/08/24,PEDRO GIORDANI REFEICOE,7.0
30/08/24,PRIMATO 15,11.54
31/08/24,TOLEDO,25.21
01/09/24,THE BEST ACAI MCR,21.85
01/09/24,DM*SPOTIFY,11.9
02/09/24,PEDRO GIORDANI REFEICOE,7.0
02/09/24,MORBEH SUPERMERCA,1.79
03/09/24,PEDRO GIORDANI REFEICOE,7.0
04/09/24,PEDRO GIORDANI REFEICOE,7.0
05/09/24,PEDRO GIORDANI REFEICOE,7.0
05/09/24,REAL MIX,12.23
06/09/24,MORBEH SUPERMERCA,6.67
06/09/24,BIJUTERIAS TOLEDO LTDA,19.0
06/09/24,FARMACIA E DROGARIA NIS,22.9
06/09/24,REAL MIX,17.47
08/09/24,PRIMATO,35.46
09/09/24,BASAMMOHAMEDAHMED,60.0
09/09/24,LOJAS AMERICANAS,11.98
09/09/24,PEDRO GIORDANI REFEICOE,1.0
10/09/24,BOM SABOR PASTELARIA,20.2
10/09/24,MAXIMO 12 - TOLEDO,2.0
13/09/24,DILETTARE 005,10.47
13/09/24,ESQUINA DO ESPETINHO 2,18.0
16/09/24,PAODELO,8.5
17/09/24,REUTER PRODUTOS NATURAI,18.0
23/09/24,PAODELO,10.0
23/09/24,LAFEMME,40.0
24/09/24,DILETTARE 005,9.95
15/09/24,A98 - Compra ShellBox,286.04
